NOMBPROV,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO
COTABAMBAS,43,93.3333333333333,10,3.31746031746032,0
CUSCO,232,69.8923529121935,10,3.90126722057364,66.133379043701
CUTERVO,55,76.25,10,3.89666666666667,0
DANIEL ALCIDES CARRION,82,86.5,10,3.545,7
DOS DE MAYO,17,81.6666666666667,10,4.03333333333333,50
EL COLLAO,40,37.5,10,3.35,7.5
ESPINAR,54,50.4225828262339,10,4.60733603786342,0
FERREÑAFE,86,95.9523809523809,10,4.69793956043956,16.6666666666667
GENERAL SANCHEZ CERRO,48,70.3571428571429,10,4.00833333333333,0
GRAN CHIMU,25,75.8771929824561,10,3.83333333333333,0
GRAU,48,79.1005291005291,10,3.48015873015873,0
HUACAYBAMBA,12,66.6666666666667,10,3.41666666666667,0
HUALGAYOC,41,78.0487804878049,10,3.41463414634146,0
HUALLAGA,14,87.5,10,3.25,0
HUAMALIES,31,90.3225806451613,10,4,0
HUAMANGA,405,69.4269082172308,10,3.76708470740729,27.0597681888005
HUANCA SANCOS,6,0,10,3.83333333333333,0
HUANCABAMBA,81,80.1747014595312,10,3.77791906236179,0
HUANCANE,13,69.2307692307692,10,3.30769230769231,46.1538461538462
HUANCAVELICA,408,75.3584207694377,10,3.94551183750336,30.0986682808717
HUANCAYO,270,78.1181115326029,10,3.72679434666936,20.9444127284555
HUANTA,138,76.4410408432148,10,3.73847167325428,3.53260869565217
HUANUCO,355,60.2796276430403,10,3.68986026096773,24.4489107647434
HUARAL,131,63.9006791171477,10,3.75042444821732,6.85483870967742
HUARAZ,127,76.0505319148936,10,4.00757978723404,44.906914893617
HUARI,57,68.2696715049656,10,3.45145785586962,0
HUARMEY,29,72.4137931034483,10,3.37931034482759,27.5862068965517
HUAROCHIRI,55,90.5555555555556,10,3.45641025641026,0
HUAURA,144,71.2419759570495,10,3.7141091853408,14.3849206349206
HUAYLAS,19,63.1578947368421,10,3.89473684210526,47.3684210526316
HUAYTARA,47,83.8888888888889,10,4.15648148148148,0
ICA,263,33.1092783334163,10,3.82078668457979,21.9148960873099
ILO,240,81.696360590833,10,3.68190700979646,48.4087102177555
ISLAY,33,84.8684210526316,10,3.66754385964912,25
JAEN,92,82.8048780487805,10,3.58414634146341,16.4634146341463
JAUJA,55,81.031746031746,10,3.65396825396825,20
JORGE BASADRE,6,50,10,4,0
JULCAN,15,100,10,2.86666666666667,0
JUNIN,7,85.7142857142857,10,3.71428571428571,0
LA CONVENCION,60,60.4911030997988,10,3.46828678567809,0
LA MAR,73,73.8770053475936,10,3.52846108140226,0
LAMAS,66,75.2339572192513,10,3.8633541295306,8.82352941176471
LAMBAYEQUE,157,89.812952924948,10,4.09154183909386,4.51127819548872
LAMPA,30,16.5158371040724,10,3.52488687782805,30.7692307692308
LAURICOCHA,31,35.4838709677419,10,3.70967741935484,0
LEONCIO PRADO,213,60.3394885121872,10,3.66811002763009,19.8835125448029
LIMA,1947,78.5099237647906,10,3.73408353982116,56.0784106144516
LORETO,85,42.1394799054374,10,3.73263888888889,0
LUCANAS,114,88.24534942182,10,3.65095525389643,2.30769230769231
LUYA,42,43.8808373590982,10,3.96924315619968,0
MANU,136,67.5914194206877,10,3.60755640023933,0
MARAÑON,22,45.4545454545455,10,4.59090909090909,0
MARISCAL CACERES,81,75.710407239819,10,4.04273504273504,23.9316239316239
MARISCAL NIETO,294,82.0192307692308,10,3.49628739316239,18.795405982906
MARISCAL RAMON CASTILLA,51,42.1590909090909,9,4.01022727272727,0
MAYNAS,461,46.2076878336057,10,4.10398947572612,27.8077514174582
MELGAR,50,30.3030303030303,10,3.48768939393939,0
MORROPON,91,89.8583356787691,10,4.13022094005066,8.82352941176471
MOYOBAMBA,70,66.9946808510638,10,3.50984042553192,15.4255319148936
NASCA,48,42.0745920745921,10,3.54613442113442,27.9040404040404
OTUZCO,25,94.4444444444444,10,3.40277777777778,0
OXAPAMPA,168,73.176469605041,10,3.66626743361437,13.7656607044362
OYON,10,80,10,3.4,0
PACASMAYO,49,59.4444444444445,10,3.59444444444444,26.6666666666667
PACHITEA,37,43.9102564102564,10,3.29647435897436,0
PADRE ABAD,89,96.2193362193362,10,4.1990231990232,0
PAITA,109,67.5935383800552,10,4.04543562970529,8.98876404494382
PALLASCA,22,94.4444444444444,10,4.52777777777778,0
PALPA,17,17.6470588235294,10,3.17647058823529,0
PARINACOCHAS,15,89.2857142857143,10,3.42857142857143,0
PASCO,329,83.7437967544537,10,3.53565864675177,38.4803489419538
PATAZ,11,81.8181818181818,10,3.45454545454545,0
PAUCAR DEL SARA SARA,8,62.5,10,3.375,0
PICOTA,23,64.5833333333334,10,3.52083333333333,0
PISCO,111,46.4101112997548,10,4.03927560837578,23.1182795698925
PIURA,399,88.3303759272752,10,3.99866774963674,21.3373107752953
POMABAMBA,31,55.921052631579,10,3.94298245614035,0
PUERTO INCA,15,73.3333333333333,10,4.26666666666667,0
PUNO,137,36.6525920713113,10,3.56242083040113,26.8707482993197
QUISPICANCHI,49,60.0595238095238,10,3.58630952380952,0
RECUAY,9,77.7777777777778,10,3,0
REQUENA,86,89.7186147186147,10,4.5443722943723,0
