NOMBPROV,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO,viv_agua,viv_elec,cant_vivienda
HUAMALIES,88.2993197278912,0.971428571428571,0.971428571428571,1,0.964285714285714,0.907142857142857,29,1,16,5,12,17,17,31,90.3225806451613,10,4,0,95.2976190476191,90.2091836734694,89
HUAMANGA,72.3263244691816,0.838347763347763,0.853679653679654,0.926695526695527,0.931009070294784,0.669186765615337,134,136,295,257,174,431,431,405,69.4269082172308,10,3.76708470740729,27.0597681888005,91.2826296626033,93.2034424508058,404
HUANCA SANCOS,79.3650793650794,0.841269841269841,0.888888888888889,0.888888888888889,0.952380952380952,1,12,1,9,7,3,10,10,6,0,10,3.83333333333333,0,100,100,32
HUANCABAMBA,54.3333333333333,0.774444444444445,0.788888888888889,0.788888888888889,0.857777777777778,0.88,37,5,60,24,41,65,65,81,80.1747014595312,10,3.77791906236179,0,89.8996655518395,90.350613154961,109
HUANCANE,72.3484848484848,0.875,0.708333333333333,0.875,0.977272727272727,0.602272727272727,18,3,21,16,8,24,24,13,69.2307692307692,10,3.30769230769231,46.1538461538462,82.6190476190476,82.3809523809524,44
HUANCAVELICA,89.2250589531516,0.515814401021024,0.631458299058245,0.834667942946312,0.828819989729937,0.922685372140211,92,109,310,262,157,419,419,408,75.3584207694377,10,3.94551183750336,30.0986682808717,94.2142857142857,89.2960927960928,298
HUANCAYO,79.8982441493217,0.938615609143626,0.882015474526251,0.872745158952056,0.89836776431604,0.923489437713576,116,151,178,202,127,329,329,270,78.1181115326029,10,3.72679434666936,20.9444127284555,83.4543041432644,96.7116402116402,560
HUANTA,61.9251119251119,0.824074074074074,0.789173789173789,1,0.972222222222222,0.881766381766382,48,20,117,68,69,137,137,138,76.4410408432148,10,3.73847167325428,3.53260869565217,98.29307568438,95.0925925925926,123
HUANUCO,75.4643134643135,0.816062588205445,0.800076193647622,0.842537462537463,0.944684601113173,0.867330447330447,155,136,224,192,168,360,360,355,60.2796276430403,10,3.68986026096773,24.4489107647434,76.9583094900519,95.5242526871235,381
HUARAL,89.5,0.915,0.85,0.951666666666667,0.945,0.863333333333333,61,45,90,60,75,135,135,131,63.9006791171477,10,3.75042444821732,6.85483870967742,77.2660254239202,87.3015873015873,211
HUARAZ,68.2183908045977,0.854310344827586,0.858620689655172,0.920977011494253,0.955747126436782,0.901724137931035,66,51,64,82,33,115,115,127,76.0505319148936,10,4.00757978723404,44.906914893617,93.3542046131136,96.9308943089431,233
HUARI,79.1666666666667,0.791666666666667,0.75,0.883333333333333,1,0.833333333333333,19,7,51,25,33,58,58,57,68.2696715049656,10,3.45145785586962,0,96.3053977272727,98.2142857142857,61
HUARMEY,77.7777777777778,1,1,1,0.933333333333333,1,10,14,15,15,14,29,29,29,72.4137931034483,10,3.37931034482759,27.5862068965517,100,100,33
HUAROCHIRI,89.1666666666667,0.825,0.841666666666667,0.975,0.925,0.791666666666667,29,9,56,13,52,65,65,55,90.5555555555556,10,3.45641025641026,0,86.734693877551,100,96
HUAURA,87.0263995263995,0.769586894586895,0.773245273245273,0.965099715099715,0.916208791208791,0.932331557331557,88,91,104,82,113,195,195,144,71.2419759570495,10,3.7141091853408,14.3849206349206,89.1813544720522,99.6059431524548,273
HUAYLAS,82.2222222222222,0.966666666666667,0.933333333333333,0.962962962962963,1,1,22,9,17,22,4,26,26,19,63.1578947368421,10,3.89473684210526,47.3684210526316,89.2857142857143,100,58
HUAYTARA,77.2222222222222,0.901851851851852,0.87962962962963,0.87037037037037,0.896296296296296,0.783333333333333,34,1,31,16,16,32,32,47,83.8888888888889,10,4.15648148148148,0,81.5151515151515,85.0757575757576,79
ICA,93.4247941600883,0.91768525592055,0.943275188863424,0.997222222222222,0.966700619641796,0.874395212630507,213,151,150,234,67,301,301,263,33.1092783334163,10,3.82078668457979,21.9148960873099,48.963308691617,98.1286227015323,746
ILO,82.1468926553672,0.754802259887006,0.654237288135593,0.87683615819209,0.943502824858757,0.815819209039548,69,172,150,275,47,322,322,240,81.696360590833,10,3.68190700979646,48.4087102177555,95.9044368600683,99.7724687144482,329
ISLAY,87.5,0.875,0.666666666666667,0.875,0.833333333333333,0.5,13,9,25,29,5,34,34,33,84.8684210526316,10,3.66754385964912,25,100,100,53
JAEN,85.4395604395604,0.734432234432235,0.728937728937729,0.936813186813187,0.912087912087912,0.983516483516483,42,24,81,55,50,105,105,92,82.8048780487805,10,3.58414634146341,16.4634146341463,96.8296703296703,89.4382384532761,172
JAUJA,67.5,0.886111111111111,0.777777777777778,0.902777777777778,0.972222222222222,0.872222222222222,33,9,57,34,32,66,66,55,81.031746031746,10,3.65396825396825,20,96.8518518518519,93.0555555555556,157
JORGE BASADRE,87.5,0.85,0.647222222222222,0.888888888888889,0.825,0.688888888888889,16,5,3,6,2,8,8,6,50,10,4,0,97.2222222222222,98.8505747126437,49
JULCAN,72.5,0.429166666666667,0.691666666666667,0.929166666666667,0.929166666666667,0.8375,25,0,16,6,10,16,16,15,100,10,2.86666666666667,0,67.0634920634921,80.3571428571429,38
JUNIN,55.5555555555556,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.888888888888889,8,0,10,2,8,10,10,7,85.7142857142857,10,3.71428571428571,0,98.6111111111111,100,38
LA CONVENCION,60.4201680672269,0.820028011204482,0.859383753501401,0.915266106442577,0.876190476190476,0.743977591036415,43,13,71,42,42,84,84,60,60.4911030997988,10,3.46828678567809,0,100,97.2589285714286,143
LA MAR,70.9663352520495,0.937423687423687,0.931972789115646,0.877899877899878,0.984126984126984,0.866213151927438,44,2,73,17,58,75,75,73,73.8770053475936,10,3.52846108140226,0,96.5174531351002,93.9942002442002,127
LA UNION,100,0.55,0.1,0.8,0.55,0.1,7,,,,,,,,,,,,93.9393939393939,100,27
LAMAS,83.3333333333333,0.768707482993197,0.731292517006803,0.979591836734694,1,0.979591836734694,43,6,51,26,31,57,57,66,75.2339572192513,10,3.8633541295306,8.82352941176471,97.9437229437229,79.107400535972,95
LAMBAYEQUE,69.0962496109555,0.815190891171283,0.777777777777778,0.991181657848325,0.85626102292769,0.997354497354497,124,29,104,46,87,133,133,157,89.812952924948,10,4.09154183909386,4.51127819548872,81.9529380206345,97.8969270166453,317
LAMPA,83.3333333333333,0.933333333333333,0.683333333333333,0.833333333333333,0.75,0.95,14,1,33,6,28,34,34,30,16.5158371040724,10,3.52488687782805,30.7692307692308,95.8333333333333,100,21
LAURICOCHA,87.5,0.875,1,0.875,1,0.875,12,0,27,1,26,27,27,31,35.4838709677419,10,3.70967741935484,0,100,93.75,13
LEONCIO PRADO,72.3651960784314,0.806004901960784,0.927022058823529,0.886335784313726,0.913480392156863,0.854166666666667,63,42,142,77,107,184,184,213,60.3394885121872,10,3.66811002763009,19.8835125448029,98.1103678929766,94.6963196033562,176
LIMA,85.7305245939202,0.838286697158984,0.807668407919399,0.89819103298777,0.866143428879689,0.902185554828799,749,1617,756,1676,697,2373,2373,1947,78.5099237647906,10,3.73408353982116,56.0784106144516,93.8612967463566,99.6977989839115,2896
LORETO,32.9301075268817,0.862903225806452,0.791666666666667,0.967741935483871,0.916666666666667,0.936827956989247,47,1,54,23,32,55,55,85,42.1394799054374,10,3.73263888888889,0,97.7777777777778,91.1111111111111,21
LUCANAS,67.1428571428571,0.823809523809524,0.761904761904762,1,0.876190476190476,0.471428571428571,18,15,109,49,75,124,124,114,88.24534942182,10,3.65095525389643,2.30769230769231,90.3679653679654,93.1818181818182,86
LUYA,84.0659340659341,0.904945054945055,0.851098901098901,0.965384615384615,0.954166666666667,0.954395604395604,68,0,51,19,32,51,51,42,43.8808373590982,10,3.96924315619968,0,93.3419913419914,98.498556998557,202
MANU,80.9722222222222,0.676388888888889,0.6125,0.940972222222222,0.676388888888889,0.73125,33,11,113,56,68,124,124,136,67.5914194206877,10,3.60755640023933,0,79.6130952380953,91.5343915343915,48
MARAÑON,75.7575757575758,0.983333333333333,0.983333333333333,0.983333333333333,0.9,0.945454545454546,36,4,16,6,14,20,20,22,45.4545454545455,10,4.59090909090909,0,97.2,97.7777777777778,50
MARISCAL CACERES,63.1818181818182,0.564393939393939,0.684090909090909,0.943939393939394,0.921212121212121,0.949242424242424,40,17,50,40,27,67,67,81,75.710407239819,10,4.04273504273504,23.9316239316239,88.3333333333333,95.8333333333333,66
MARISCAL LUZURIAGA,72.2222222222222,0.680555555555556,0.791666666666667,0.958333333333333,0.916666666666667,1,19,,,,,,,,,,,,92.8571428571429,92.8571428571429,34
MARISCAL NIETO,79.2385057471264,0.988505747126437,0.935279519331243,0.770289097875305,0.872779519331244,0.617446011842564,83,152,256,345,63,408,408,294,82.0192307692308,10,3.49628739316239,18.795405982906,96.8629741905604,93.959938528904,468
MARISCAL RAMON CASTILLA,66.1764705882353,0.718504901960784,0.776838235294118,0.8625,0.9,0.8875,60,0,24,3,21,24,24,51,42.1590909090909,9,4.01022727272727,0,80.1587301587302,85.7142857142857,18
MAYNAS,64.8057927386553,0.894384670134255,0.862978000918818,0.942722647313804,0.947206927753384,0.953066680566994,338,26,310,256,80,336,336,461,46.2076878336057,10,4.10398947572612,27.8077514174582,76.7892156862745,90.499245852187,539
MELGAR,90,0.595833333333333,0.5375,0.854166666666667,0.916666666666667,0.8375,16,3,45,24,24,48,48,50,30.3030303030303,10,3.48768939393939,0,99.2063492063492,62.6713564213564,54
MOHO,87.5,0.875,0.875,0.875,0.875,0.75,5,,,,,,,,,,,,100,91.3888888888889,30
MORROPON,78.4970238095238,0.8125,0.8046875,0.984375,0.9921875,0.901413690476191,46,8,74,40,42,82,82,91,89.8583356787691,10,4.13022094005066,8.82352941176471,76.939041221936,98.8409090909091,142
MOYOBAMBA,81.867201426025,0.832575757575757,0.72277183600713,0.883155080213904,0.952762923351159,0.797281639928699,83,22,58,50,30,80,80,70,66.9946808510638,10,3.50984042553192,15.4255319148936,95.9015771913861,96.9404003639672,215
NASCA,86.8641774891775,0.96875,0.901785714285714,0.933035714285714,1,0.953125,46,22,38,44,16,60,60,48,42.0745920745921,10,3.54613442113442,27.9040404040404,87.6041666666667,99.1666666666667,113
OCROS,41.6666666666667,0.833333333333333,0.916666666666667,1,1,1,9,,,,,,,,,,,,100,93.3333333333333,19
OTUZCO,59.6428571428572,0.934523809523809,0.901190476190476,0.982142857142857,0.964285714285714,0.847619047619048,45,0,24,4,20,24,24,25,94.4444444444444,10,3.40277777777778,0,85.6210918710919,100,80
OXAPAMPA,80.025347745936,0.795319046421988,0.714029393808806,0.892882131485073,0.898528214704685,0.941047038473509,136,35,159,67,127,194,194,168,73.176469605041,10,3.66626743361437,13.7656607044362,99.264705882353,92.5015101177892,144
OYON,90.4761904761905,0.976190476190476,0.976190476190476,0.976190476190476,0.976190476190476,0.976190476190476,17,0,8,0,8,8,8,10,80,10,3.4,0,100,100,27
PACASMAYO,80.5555555555556,0.680555555555556,0.561111111111111,0.972222222222222,0.944444444444444,0.838888888888889,21,27,41,37,31,68,68,49,59.4444444444445,10,3.59444444444444,26.6666666666667,48.0357142857143,100,96
PACHITEA,61.6666666666667,0.872348484848485,0.767424242424243,0.954545454545455,0.959848484848485,0.859848484848485,52,3,27,14,16,30,30,37,43.9102564102564,10,3.29647435897436,0,78.3730158730159,92.7197802197802,50
PADRE ABAD,59.2920035938904,0.873418688230009,0.693027852650494,0.945619946091644,0.902560646900269,0.956132075471698,111,2,72,42,32,74,74,89,96.2193362193362,10,4.1990231990232,0,93.8149350649351,93.734126984127,160
PAITA,95.3125,0.703125,0.848958333333333,0.619791666666667,0.961805555555556,0.734375,60,20,61,61,20,81,81,109,67.5935383800552,10,4.04543562970529,8.98876404494382,30.7539682539683,100,89
PALLASCA,83.3333333333333,1,0.75,1,1,1,11,1,22,14,9,23,23,22,94.4444444444444,10,4.52777777777778,0,100,100,41
