NOMBPROV,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu
PISCO,90.1190476190476,0.910714285714286,0.886904761904762,0.995238095238095,0.954761904761905,0.872619047619048,63
PIURA,81.5254383835202,0.748874553523582,0.795218687594463,0.961591186178206,0.920827487855185,0.901850574486374,272
POMABAMBA,88.8888888888889,0.833333333333333,0.722222222222222,0.777777777777778,0.944444444444444,1,15
PUERTO INCA,78.125,0.71875,0.9375,0.84375,0.96875,0.875,19
PUNO,80.9895833333333,0.99609375,0.82421875,0.783854166666667,0.770833333333333,0.934895833333333,44
PUTUMAYO,75,0.5,0.5,1,0.75,1,4
QUISPICANCHI,53.6394557823129,0.755952380952381,0.917857142857143,0.961734693877551,0.953571428571429,0.710714285714286,29
RECUAY,100,1,1,1,1,1,4
REQUENA,37.8181003584229,0.840636200716846,0.846057347670251,0.856093189964158,0.86581541218638,0.939247311827957,65
RIOJA,71.8415356573251,0.762759170653908,0.756151742993848,0.911967418546366,0.93577694235589,0.828320802005013,71
RODRIGUEZ DE MENDOZA,76.7361111111111,0.88125,0.843055555555556,0.965277777777778,0.769444444444444,0.902083333333333,40
SAN ANTONIO DE PUTINA,75,0.833333333333333,0.666666666666667,0.791666666666667,0.916666666666667,0.791666666666667,14
SAN IGNACIO,87.8095238095238,0.653333333333333,0.777142857142857,0.942857142857143,0.971428571428571,0.971428571428571,37
SAN MARCOS,91,0.87,0.83,0.92,0.98,1,19
SAN MARTIN,64.8553743961353,0.88036231884058,0.833919082125604,0.982185990338164,0.951560990338164,0.93074577294686,112
SAN MIGUEL,76.1904761904762,0.761904761904762,0.714285714285714,0.785714285714286,1,0.904761904761905,15
SAN PABLO,93.75,1,0.9375,1,1,1,11
SAN ROMAN,95.7671957671958,0.57010582010582,0.541005291005291,0.915343915343915,0.933862433862434,0.891534391534391,48
SANCHEZ CARRION,64.2857142857143,0.760714285714286,0.696428571428571,0.746428571428571,0.707142857142857,0.503571428571429,46
SANDIA,93.3333333333333,0.843333333333333,0.626666666666667,0.833333333333333,1,0.9,19
SANTA,51.0673952641166,0.928051001821494,0.835458409228901,0.994535519125683,0.988670309653916,0.953855494839101,129
SANTA CRUZ,65.625,0.625,0.90625,0.9375,0.9375,0.96875,14
SANTIAGO DE CHUCO,86.9047619047619,1,0.976190476190476,0.916666666666667,1,1,22
SATIPO,69.4795701374649,0.735057340320498,0.671736158578264,0.910154173312068,0.760300372142477,0.810700994911521,101
SECHURA,88.2936507936508,0.882142857142857,0.914285714285714,0.992857142857143,0.985714285714286,0.960714285714286,56
SIHUAS,90,1,1,0.6375,1,0.95,13
SUCRE,66.6666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.5,6
SULLANA,93.0964109781844,0.810403471733521,0.918390804597701,0.949507389162562,0.94201266713582,0.85137227304715,74
TACNA,83.4206288159223,0.870486515071391,0.748676305626332,0.834933657035719,0.771000032049741,0.756210959409003,288
TAHUAMANU,74.8114630467572,0.739064856711916,0.75867269984917,0.895927601809955,0.895927601809955,0.831070889894419,31
TALARA,73.3796296296296,0.972222222222222,0.837962962962963,0.990740740740741,1,0.953703703703704,51
TAMBOPATA,83.2899421450823,0.755220850022252,0.65679795282599,0.728807854917668,0.90223075211393,0.845652536715621,157
TARATA,100,1,0.666666666666667,0.666666666666667,1,0.333333333333333,5
TARMA,69.7222222222222,0.983333333333333,0.936111111111111,0.958333333333333,0.983333333333333,0.95,39
TAYACAJA,87.9166666666667,0.796924603174603,0.843849206349206,0.79593253968254,0.787003968253968,0.814880952380952,94
TOCACHE,73.202614379085,0.929738562091503,0.888888888888889,0.751143790849673,0.985294117647059,0.985294117647059,39
TRUJILLO,77.2660875209634,0.915822279134927,0.814229881022139,0.928941752035724,0.8930987873216,0.867139585143427,227
TUMBES,77.5467492539285,0.984690032033164,0.967771158556913,0.971635994388962,0.990437158469945,0.966122392775869,189
UCAYALI,63.3788174139051,0.829945233454005,0.793130975587116,0.919010489185928,0.930381509328878,0.850181008075745,72
URUBAMBA,61.0119047619048,0.833333333333333,0.726190476190476,0.916666666666667,0.944444444444444,0.908730158730159,29
UTCUBAMBA,70.5187766163376,0.781736353077817,0.749283778552071,0.914634146341463,0.924022454510259,0.894308943089431,92
VICTOR FAJARDO,62.7976190476191,0.803571428571429,0.755952380952381,0.845238095238095,1,0.657738095238095,17
VILCAS HUAMAN,57.5,0.95,1,1,1,1,13
VIRU,59.9358974358975,0.798076923076923,0.762820512820513,0.919871794871795,0.958333333333333,0.881410256410256,25
YAROWILCA,62.5,0.875,0.75,0.854166666666667,0.875,0.708333333333333,23
YAULI,66.6666666666667,0.866666666666667,0.766666666666667,0.933333333333333,0.966666666666667,0.933333333333333,15
YAUYOS,95.2380952380952,0.920634920634921,0.642857142857143,0.698412698412698,0.944444444444444,0.583333333333333,23
YUNGAY,73.5119047619048,0.866071428571429,0.901785714285714,1,0.964285714285714,1,17
YUNGUYO,90,1,0.8,1,0.8,0.9,6
ZARUMILLA,87.9464285714286,0.686755952380952,0.785962301587302,1,0.988095238095238,0.964285714285714,52
